"term","estimate","std.error","statistic","p.value","conf.low","conf.high","b","df","dfcom","fmi","lambda","m","riv","ubar"
"eGFR",-0.00790188078818418,0.00104117880536636,-7.58936000949782,5.9962637827711e-14,-0.00994440076252536,-0.00585936081384301,8.57402916011299e-08,1338.46042088448,2841,0.0844140334114306,0.0830469367024678,20,0.0905683617041593,9.94025998562939e-07
"Haemoglobin",-0.0668911935072994,0.0132035147553316,-5.06616569503122,6.59095494877338e-07,-0.0928596336893532,-0.0409227533252455,3.557353773674e-05,349.111001117402,2841,0.2187211336365,0.214258098405559,20,0.272682541138233,0.000136980587270682
"ACE_inhibitor_ARBYes",-0.0593578361356453,0.0510595165905706,-1.16252248550679,0.245130535779549,-0.159479497213376,0.0407638249420851,5.54988333352616e-05,2586.75009093133,2841,0.0231071865224272,0.0223521732644615,20,0.0228632158259867,0.00254880045946073
"Beta_blockersYes",-0.145509938864908,0.0590266940014781,-2.46515481387565,0.0137613202954793,-0.261255473064771,-0.0297644046650461,8.39004026645676e-05,2531.50690883435,2841,0.026053775464933,0.0252846196366605,20,0.0259405157095555,0.00339605518194633
"Lipid_loweringYes",-0.324278395365025,0.0569112173538206,-5.69796975785926,1.35990242377742e-08,-0.435878285310978,-0.212678505419071,9.57562795808703e-05,2414.06039525533,2841,0.0318445596606232,0.0310427946677134,20,0.0320373226979285,0.00313834256713389
"Revascularisation_acuteYes",-0.132274770879338,0.0450151650610892,-2.93844909154127,0.00343258546083448,-0.22069131484799,-0.0438582269106861,0.000308137522723119,567.880036342833,2841,0.162611367625534,0.159667377403068,20,0.190004973161269,0.00170282068661783
"Cholesterol",-0.00105572607893466,0.000726703068003707,-1.45276127956195,0.150889776577184,-0.00250584286248382,0.000394390704614497,2.59220510026415e-07,67.9912244766618,2841,0.529052689451704,0.515400306438627,20,1.06355887815549,2.55915813518266e-07
"HDL",0.00168150640838373,0.00162798494005961,1.03287589891474,0.302870238762769,-0.00152809787901976,0.00489111069578723,7.25557388993449e-07,206.479023786851,2841,0.294251749624704,0.287448669125344,20,0.403407665764236,1.88849970661778e-06
"LDL",-0.00137326869020455,0.000877073035346467,-1.56574040571442,0.123255378507302,-0.00313172203891924,0.000385184658510138,4.24776235134839e-07,53.9627685440779,2841,0.594553214043916,0.579799707381276,20,1.3798174764894,3.23242062440283e-07
"Triglycerides",-0.000123290302761966,0.000267713276497361,-0.460531148753774,0.645767858974851,-0.000652046277805717,0.000405465672281785,2.26554529318448e-08,158.092793495968,2841,0.340205902206718,0.331911446080897,20,0.49680756261106,4.78821728345153e-08
"Stroke_TIAYes",0.22677363943176,0.0656143608232747,3.4561586303119,0.000582711708258886,0.0979379384242447,0.355609340439275,0.000589711992783746,666.618086442305,2841,0.146381236918993,0.143824030095463,20,0.167984193846855,0.00368604675382395
"ICD_status",1.53962700129895,0.0585437865265037,26.2987260074463,1.36796463059512e-135,1.42483068421517,1.65442331838272,6.27589485377606e-05,2641.32750396906,2841,0.0199684317862742,0.0192266376167463,20,0.0196035479287754,0.00336147804489619
