"term","estimate","std.error","statistic","p.value","conf.low","conf.high","b","df","dfcom","fmi","lambda","m","riv","ubar"
"LVEF",-0.0435664762525176,0.00164617415215712,-26.4652899545463,1.22273814058519e-136,-0.0467944442432552,-0.04033850826178,4.11218749758324e-08,2560.38005303819,2696,0.0167012686512417,0.0159334804191264,20,0.016191466838962,2.66671137050558e-06
"eGFR",-0.00764923843881645,0.00101381227041768,-7.5450245198404,8.1965758398478e-14,-0.00963802819720262,-0.00566044868043029,7.70231831959861e-08,1372.18971385585,2696,0.0800255838409058,0.0786856751496648,20,0.0854058957158265,9.46940977293663e-07
"Haemoglobin",-0.0516966080004543,0.012487768035744,-4.13977965097381,3.97700115121021e-05,-0.0762218959003432,-0.0271713201005654,2.27630134434869e-05,597.105549601573,2696,0.156089211152966,0.153267265128859,20,0.181010204066557,0.000132043186398888
"ACE_inhibitor_ARBYes",-0.0578301397394767,0.0523115810849358,-1.1054940137554,0.269050341998081,-0.16040786064279,0.0447475811638366,4.55901935375554e-05,2538.6544334881,2696,0.0182661539988078,0.0174930300390628,20,0.0178044844198492,0.00268863181239138
"Beta_blockersYes",-0.151847773696414,0.0598979922923856,-2.53510623453262,0.0113011445508019,-0.269301923597442,-0.0343936237953848,6.23564580389924e-05,2527.65782162336,2696,0.019025185594026,0.0182492998209354,20,0.0185885274312581,0.00352229519971775
"Lipid_loweringYes",-0.328084431957237,0.0576869357049033,-5.68732639285172,1.44609679571623e-08,-0.441205426698429,-0.214963437216044,7.96051453711636e-05,2415.67388763811,2696,0.0259235770398656,0.025117447236467,20,0.0257645879139653,0.00324419714838192
"Revascularisation_acuteYes",-0.229349030493404,0.0490410843076361,-4.67667127942546,4.85927345366754e-06,-0.325952921140955,-0.132745139845854,0.000602829930658929,240.997008487023,2696,0.269226251080897,0.263186723952128,20,0.357195957928191,0.00177205652287679
"Cholesterol",-0.00159994144956565,0.000653921773287967,-2.44668630854885,0.0164919935507768,-0.00290023838957462,-0.000299644509556687,1.87490947300649e-07,84.4365393714675,2696,0.472724736938238,0.460381651252868,20,0.85316159526778,2.30748190914398e-07
"HDL",0.000794725133877929,0.00168580955895023,0.471420469565264,0.638205637381445,-0.00254342533612995,0.00413287560388581,1.04321502567057e-06,118.725857224908,2696,0.395528126251643,0.385430526823095,20,0.627155339868545,1.74657809209389e-06
"LDL",-0.0015624901616817,0.000799910166216919,-1.95333204611127,0.0552367963018886,-0.00316106817062476,3.60878472613626e-05,3.26582745167842e-07,62.8291076218132,2696,0.550019701675966,0.53592016887378,20,1.1548016805066,2.96944391590945e-07
"Triglycerides",-4.97937530836118e-05,0.000281593866488399,-0.176828258742146,0.8599080813209,-0.000606695548832006,0.000507108042664782,2.71871988031775e-08,135.113194546899,2696,0.369271746398146,0.360004044531307,20,0.562509874406413,5.074854690055e-08
"Stroke_TIAYes",0.244381541829724,0.065171069897155,3.74984701364236,0.000183646182001132,0.11654578519785,0.372217298461598,0.000286973810819272,1505.01474645615,2696,0.0721771677100522,0.0709450113391093,20,0.0763625535678649,0.00394594585017963
"ICD_status",1.63208559398805,0.0587166614424481,27.7959535486833,7.00409917754051e-148,1.51694568786446,1.74722550011164,7.9909890571962e-05,2429.38269247375,2696,0.0251392329412984,0.0243370047407129,20,0.0249440686578927,0.00336374094584651
