Variable,Category,ICD,NonICD_reduced,NonICD_preserved
"LVEF","Missing","94 (1.2%)","0 (0.0%)","106507 (99.0%)"
"LVEF","Missing","94 (1.2%)","0 (0.0%)","0 (0.0%)"
"LVEF","Missing","7212 (95.6%)","24415 (97.4%)","106507 (99.0%)"
"LVEF","Missing","7212 (95.6%)","24415 (97.4%)","0 (0.0%)"
"LVEF","Missing","7212 (95.6%)","0 (0.0%)","106507 (99.0%)"
"LVEF","Missing","7212 (95.6%)","0 (0.0%)","0 (0.0%)"
"Creatinine","Mean (SD)","67.9 (22.5)","66.8 (23.3)","76.2 (21.3)"
"Creatinine","Median (IQR)","69.0 (51.4--85.0)","68.0 (49.9--85.0)","79.6 (62.6--91.8)"
"Creatinine","Missing","2986 (39.6%)","1118 (4.5%)","4916 (4.6%)"
"HR","Mean (SD)","72.1 (13.6)","72.4 (13.4)","67.0 (13.5)"
"HR","Median (IQR)","70.0 (62.0--80.0)","72.0 (62.0--80.0)","64.9 (57.5--74.2)"
"HR","Missing","3940 (52.2%)","23537 (93.9%)","102115 (94.9%)"
"QRS","Mean (SD)","111.5 (25.2)","114.9 (29.2)","97.5 (19.8)"
"QRS","Median (IQR)","100.0 (98.0--124.0)","108.0 (94.5--130.0)","95.0 (84.6--104.0)"
"QRS","Missing","2290 (30.4%)","22926 (91.5%)","98610 (91.6%)"
"LBBB","No","3497 (46.4%)","20038 (80.0%)","98347 (91.4%)"
"LBBB","Yes","391 (5.2%)","3100 (12.4%)","3177 (3.0%)"
"LBBB","Missing","3655 (48.5%)","1920 (7.7%)","6079 (5.6%)"
"Stroke_TIA","No","4130 (54.8%)","20938 (83.6%)","94951 (88.2%)"
"Stroke_TIA","Yes","399 (5.3%)","2468 (9.8%)","6707 (6.2%)"
"Stroke_TIA","Missing","3014 (40.0%)","1652 (6.6%)","5945 (5.5%)"
"Diabetes","No","3536 (46.9%)","18211 (72.7%)","85755 (79.7%)"
"Diabetes","Yes","2049 (27.2%)","6847 (27.3%)","21848 (20.3%)"
"Diabetes","Missing","1958 (26.0%)","0 (0.0%)","0 (0.0%)"
"Time_zero_Y","Min to Max","1997 to 2020","1994 to 2017","1994 to 2017"
"Time_zero_Y","Missing","0 (0.0%)","0 (0.0%)","0 (0.0%)"
"ACE_inhibitor_ARB","No","1527 (20.2%)","3233 (12.9%)","23869 (22.2%)"
"ACE_inhibitor_ARB","Yes","5029 (66.7%)","21527 (85.9%)","82760 (76.9%)"
"ACE_inhibitor_ARB","Missing","987 (13.1%)","298 (1.2%)","974 (0.9%)"
"Anti_arrhythmic_III","No","5306 (70.3%)","1392 (5.6%)","9235 (8.6%)"
"Anti_arrhythmic_III","Yes","532 (7.1%)","102 (0.4%)","164 (0.2%)"
"Anti_arrhythmic_III","Missing","1705 (22.6%)","23564 (94.0%)","98204 (91.3%)"
"Anti_platelet","No","2201 (29.2%)","1869 (7.5%)","2635 (2.4%)"
"Anti_platelet","Yes","4266 (56.6%)","22642 (90.4%)","99610 (92.6%)"
"Anti_platelet","Missing","1076 (14.3%)","547 (2.2%)","5358 (5.0%)"
"Beta_blockers","No","1440 (19.1%)","2448 (9.8%)","11908 (11.1%)"
"Beta_blockers","Yes","5249 (69.6%)","22381 (89.3%)","95197 (88.5%)"
"Beta_blockers","Missing","854 (11.3%)","229 (0.9%)","498 (0.5%)"
"Diuretics","No","2167 (28.7%)","11742 (46.9%)","83117 (77.2%)"
"Diuretics","Yes","4276 (56.7%)","13086 (52.2%)","23988 (22.3%)"
"Diuretics","Missing","1100 (14.6%)","230 (0.9%)","498 (0.5%)"
"Time_zero_Ym","Min to Max","1997 to 2020","1994 to 2017","1994 to 2017"
"Time_zero_Ym","Missing","0 (0.0%)","0 (0.0%)","0 (0.0%)"
"MI_location_anterior","No","204 (2.7%)","302 (1.2%)","5499 (5.1%)"
"MI_location_anterior","Yes","217 (2.9%)","450 (1.8%)","2915 (2.7%)"
"MI_location_anterior","Missing","7122 (94.4%)","24306 (97.0%)","99189 (92.2%)"
"MI_location_inferior","No","290 (3.8%)","528 (2.1%)","4701 (4.4%)"
"MI_location_inferior","Yes","131 (1.7%)","224 (0.9%)","3713 (3.5%)"
"MI_location_inferior","Missing","7122 (94.4%)","24306 (97.0%)","99189 (92.2%)"
"PCI","No","916 (12.1%)","20144 (80.4%)","87809 (81.6%)"
"PCI","Yes","1571 (20.8%)","3576 (14.3%)","16048 (14.9%)"
"PCI","Missing","5056 (67.0%)","1338 (5.3%)","3746 (3.5%)"
"CABG","No","1855 (24.6%)","21433 (85.5%)","96689 (89.9%)"
"CABG","Yes","1528 (20.3%)","2870 (11.5%)","7428 (6.9%)"
"CABG","Missing","4160 (55.2%)","755 (3.0%)","3486 (3.2%)"
"BUN","Mean (SD)","9.3 (5.6)","8.5 (4.4)",-
"BUN","Median (IQR)","7.5 (5.7--11.0)","7.5 (5.7--10.0)",-
"BUN","Missing","5831 (77.3%)","23870 (95.3%)","107603 (100.0%)"
"Haemoglobin","Mean (SD)","13.6 (1.8)","13.5 (1.9)","13.9 (1.7)"
"Haemoglobin","Median (IQR)","13.7 (12.5--14.7)","13.6 (12.3--14.8)","14.0 (12.9--15.0)"
"Haemoglobin","Missing","6166 (81.7%)","3096 (12.4%)","9944 (9.2%)"
"NTProBNP","Mean (SD)","438.5 (627.0)","191.1 (263.3)","75.6 (190.4)"
"NTProBNP","Median (IQR)","263.1 (133.3--503.4)","97.9 (44.1--228.4)","29.7 (12.5--74.5)"
"NTProBNP","Missing","6440 (85.4%)","24762 (98.8%)","102018 (94.8%)"
"Potassium","Mean (SD)","4.3 (0.5)","4.4 (0.5)","4.2 (0.4)"
"Potassium","Median (IQR)","4.3 (4.0--4.6)","4.4 (4.1--4.7)","4.2 (4.0--4.5)"
"Potassium","Missing","6288 (83.4%)","23943 (95.6%)","102489 (95.2%)"
"Sodium","Mean (SD)","139.2 (3.1)","139.1 (3.1)","139.4 (2.9)"
"Sodium","Median (IQR)","139.0 (137.0--141.0)","139.0 (137.0--141.0)","140.0 (138.0--141.0)"
"Sodium","Missing","6352 (84.2%)","24131 (96.3%)","102671 (95.4%)"
"QTc","Mean (SD)","438.4 (40.2)","441.0 (41.6)","428.5 (37.9)"
"QTc","Median (IQR)","433.0 (411.0--462.3)","438.2 (411.5--467.6)","425.1 (403.1--450.4)"
"QTc","Missing","6210 (82.3%)","23597 (94.2%)","99266 (92.3%)"
"RBBB","No","1490 (19.8%)","21649 (86.4%)","97045 (90.2%)"
"RBBB","Yes","129 (1.7%)","1203 (4.8%)","4231 (3.9%)"
"RBBB","Missing","5924 (78.5%)","2206 (8.8%)","6327 (5.9%)"
"Time_index_MI_CHD","Mean (SD)","49.4 (67.4)","4.1 (21.5)","4.8 (25.5)"
"Time_index_MI_CHD","Median (IQR)","12.0 (5.4--76.0)","1.3 (1.3--1.3)","1.3 (1.3--1.3)"
"Time_index_MI_CHD","Missing","6929 (91.9%)","1204 (4.8%)","2280 (2.1%)"
"NSVT","No","1106 (14.7%)",-,-
"NSVT","Yes","223 (3.0%)",-,-
"NSVT","Missing","6214 (82.4%)",-,-
"AF_atrial_flutter","No","2859 (37.9%)","18591 (74.2%)","90906 (84.5%)"
"AF_atrial_flutter","Yes","1273 (16.9%)","5379 (21.5%)","11473 (10.7%)"
"AF_atrial_flutter","Missing","3411 (45.2%)","1088 (4.3%)","5224 (4.9%)"
"COPD","No","878 (11.6%)","1521 (6.1%)","10581 (9.8%)"
"COPD","Yes","118 (1.6%)","165 (0.7%)","855 (0.8%)"
"COPD","Missing","6547 (86.8%)","23372 (93.3%)","96167 (89.4%)"
"Hypertension","No","1320 (17.5%)","12297 (49.1%)","52510 (48.8%)"
"Hypertension","Yes","2402 (31.8%)","12528 (50.0%)","53561 (49.8%)"
"Hypertension","Missing","3821 (50.7%)","233 (0.9%)","1532 (1.4%)"
"FH_SCD","No","1094 (14.5%)","706 (2.8%)","3659 (3.4%)"
"FH_SCD","Yes","131 (1.7%)","270 (1.1%)","1219 (1.1%)"
"FH_SCD","Missing","6318 (83.8%)","24082 (96.1%)","102725 (95.5%)"
"Smoking","No","1107 (14.7%)","9403 (37.5%)","41930 (39.0%)"
"Smoking","Yes","2113 (28.0%)","13740 (54.8%)","60681 (56.4%)"
"Smoking","Missing","4323 (57.3%)","1915 (7.6%)","4992 (4.6%)"
"ACE_inhibitor","No","1999 (26.5%)","7123 (28.4%)","41549 (38.6%)"
"ACE_inhibitor","Yes","2063 (27.3%)","17406 (69.5%)","64855 (60.3%)"
"ACE_inhibitor","Missing","3481 (46.1%)","529 (2.1%)","1199 (1.1%)"
"ARB","No","3052 (40.5%)","19973 (79.7%)","84825 (78.8%)"
"ARB","Yes","378 (5.0%)","4083 (16.3%)","17967 (16.7%)"
"ARB","Missing","4113 (54.5%)","1002 (4.0%)","4811 (4.5%)"
"Aldosterone_antagonist","No","2706 (35.9%)","9447 (37.7%)","55183 (51.3%)"
"Aldosterone_antagonist","Yes","808 (10.7%)","2603 (10.4%)","2457 (2.3%)"
"Aldosterone_antagonist","Missing","4029 (53.4%)","13008 (51.9%)","49963 (46.4%)"
"Anti_anginal","No","2356 (31.2%)","20052 (80.0%)","87217 (81.1%)"
"Anti_anginal","Yes","417 (5.5%)","3994 (15.9%)","11373 (10.6%)"
"Anti_anginal","Missing","4770 (63.2%)","1012 (4.0%)","9013 (8.4%)"
"Anti_diabetic_insulin","No","3812 (50.5%)","21471 (85.7%)","96857 (90.0%)"
"Anti_diabetic_insulin","Yes","198 (2.6%)","3195 (12.8%)","8456 (7.9%)"
"Anti_diabetic_insulin","Missing","3533 (46.8%)","392 (1.6%)","2290 (2.1%)"
"Anti_diabetic_oral","No","3985 (52.8%)","21403 (85.4%)","94664 (88.0%)"
"Anti_diabetic_oral","Yes","177 (2.3%)","3096 (12.4%)","10647 (9.9%)"
"Anti_diabetic_oral","Missing","3381 (44.8%)","559 (2.2%)","2292 (2.1%)"
"Calcium_antagonists","No","3613 (47.9%)","21765 (86.9%)","81734 (76.0%)"
"Calcium_antagonists","Yes","183 (2.4%)","2296 (9.2%)","16946 (15.7%)"
"Calcium_antagonists","Missing","3747 (49.7%)","997 (4.0%)","8923 (8.3%)"
"Digitalis_glycosides","No","4015 (53.2%)","22552 (90.0%)","99563 (92.5%)"
"Digitalis_glycosides","Yes","526 (7.0%)","1631 (6.5%)","1473 (1.4%)"
"Digitalis_glycosides","Missing","3002 (39.8%)","875 (3.5%)","6567 (6.1%)"
"Diseased_arteries_num_cat","0","143 (1.9%)","33 (0.1%)","325 (0.3%)"
"Diseased_arteries_num_cat","1","306 (4.1%)","120 (0.5%)","1197 (1.1%)"
"Diseased_arteries_num_cat","2","250 (3.3%)","98 (0.4%)","943 (0.9%)"
"Diseased_arteries_num_cat","geq3","320 (4.2%)","190 (0.8%)","1088 (1.0%)"
"Diseased_arteries_num_cat","Missing","6524 (86.5%)","24617 (98.2%)","104050 (96.7%)"
"MR","Moderate","82 (1.1%)","76 (0.3%)","105 (0.1%)"
"MR","None or mild","280 (3.7%)","209 (0.8%)","1490 (1.4%)"
"MR","Severe","30 (0.4%)","22 (0.1%)","5 (0.0%)"
"MR","Missing","7151 (94.8%)","24751 (98.8%)","106003 (98.5%)"
"FH_CAD","No","241 (3.2%)","531 (2.1%)","2506 (2.3%)"
"FH_CAD","Yes","300 (4.0%)","789 (3.1%)","2621 (2.4%)"
"FH_CAD","Missing","7002 (92.8%)","23738 (94.7%)","102476 (95.2%)"
"Infarct_size","Mean (SD)","25.1 (15.7)","25.7 (19.5)","16.2 (13.5)"
"Infarct_size","Median (IQR)","22.8 (15.0--32.7)","22.6 (12.7--35.9)","13.7 (6.2--23.0)"
"Infarct_size","Missing","7170 (95.1%)","24432 (97.5%)","106530 (99.0%)"
"Greyzone_size","Mean (SD)","13.7 (14.0)","18.2 (15.9)","10.3 (10.4)"
"Greyzone_size","Median (IQR)","9.1 (2.9--20.5)","13.6 (6.3--27.4)","6.5 (3.2--14.8)"
"Greyzone_size","Missing","7170 (95.1%)","24407 (97.4%)","106463 (98.9%)"
"Total_scar","Mean (SD)","38.7 (24.8)","51.1 (30.3)","32.7 (21.1)"
"Total_scar","Median (IQR)","33.4 (21.9--50.1)","48.0 (29.8--66.5)","29.9 (17.9--44.0)"
"Total_scar","Missing","7170 (95.1%)","24632 (98.3%)","106970 (99.4%)"
"LV_mass","Mean (SD)","152.9 (47.6)","147.2 (51.4)","126.1 (41.4)"
"LV_mass","Median (IQR)","148.0 (120.0--175.1)","143.2 (113.3--174.0)","119.6 (97.0--148.0)"
"LV_mass","Missing","7288 (96.6%)","24414 (97.4%)","106502 (99.0%)"
"LVEDV","Mean (SD)","248.3 (75.4)","245.9 (83.9)","180.2 (57.2)"
"LVEDV","Median (IQR)","235.9 (198.7--287.1)","234.9 (187.8--289.5)","176.0 (139.7--213.0)"
"LVEDV","Missing","7224 (95.8%)","24415 (97.4%)","106507 (99.0%)"
"LVESV","Mean (SD)","186.4 (68.0)","184.1 (73.1)","101.4 (46.3)"
"LVESV","Median (IQR)","176.0 (140.8--222.9)","173.0 (132.4--220.0)","98.4 (68.0--130.0)"
"LVESV","Missing","7224 (95.8%)","24421 (97.5%)","106507 (99.0%)"
"Anti_coagulant","No","3500 (46.4%)","20123 (80.3%)","90867 (84.4%)"
"Anti_coagulant","Yes","1582 (21.0%)","3977 (15.9%)","7444 (6.9%)"
"Anti_coagulant","Missing","2461 (32.6%)","958 (3.8%)","9292 (8.6%)"
"Cancer","No","1938 (25.7%)",-,-
"Cancer","Yes","50 (0.7%)",-,-
"Cancer","Missing","5555 (73.6%)",-,-
"SBP","Mean (SD)","124.2 (20.2)","120.8 (19.3)","128.9 (19.9)"
"SBP","Median (IQR)","122.0 (110.0--137.0)","120.0 (108.0--131.0)","127.0 (115.0--140.0)"
"SBP","Missing","5143 (68.2%)","23707 (94.6%)","102448 (95.2%)"
"DBP","Mean (SD)","73.1 (12.0)","70.6 (11.0)","74.4 (11.2)"
"DBP","Median (IQR)","72.0 (64.0--80.0)","70.0 (62.0--79.0)","74.0 (68.0--81.0)"
"DBP","Missing","5144 (68.2%)","23707 (94.6%)","102449 (95.2%)"
"LVDD","Mean (SD)","61.1 (7.0)",-,-
"LVDD","Median (IQR)","61.0 (58.0--64.0)",-,-
"LVDD","Missing","7123 (94.4%)",-,-
"CRP","Mean (SD)","10.0 (18.2)","9.8 (23.7)","7.3 (22.2)"
"CRP","Median (IQR)","4.2 (1.4--10.6)","2.8 (1.2--6.7)","1.9 (0.9--4.7)"
"CRP","Missing","6860 (90.9%)","24769 (98.8%)","102159 (94.9%)"
"TSH","Mean (SD)","2.3 (5.0)","2.3 (4.1)","2.2 (1.4)"
"TSH","Median (IQR)","1.6 (1.0--2.4)","1.6 (1.1--2.5)","1.9 (1.3--2.7)"
"TSH","Missing","6973 (92.4%)","24301 (97.0%)","106751 (99.2%)"
"PR","Mean (SD)","187.2 (38.8)","185.5 (38.9)","171.8 (32.7)"
"PR","Median (IQR)","180.0 (160.0--204.0)","180.0 (160.0--200.0)","167.7 (150.2--187.8)"
"PR","Missing","6672 (88.5%)","23659 (94.4%)","103179 (95.9%)"
"AV_block","No","1620 (21.5%)","738 (2.9%)","4843 (4.5%)"
"AV_block","Yes","75 (1.0%)","48 (0.2%)","686 (0.6%)"
"AV_block","Missing","5848 (77.5%)","24272 (96.9%)","102074 (94.9%)"
"HF","No","365 (4.8%)","18111 (72.3%)","92205 (85.7%)"
"HF","Yes","1327 (17.6%)","3779 (15.1%)","3842 (3.6%)"
"HF","Missing","5851 (77.6%)","3168 (12.6%)","11556 (10.7%)"
"Anti_diabetic","No","3558 (47.2%)","19382 (77.3%)","89710 (83.4%)"
"Anti_diabetic","Yes","378 (5.0%)","5186 (20.7%)","15602 (14.5%)"
"Anti_diabetic","Missing","3607 (47.8%)","490 (2.0%)","2291 (2.1%)"
"AV_block_II_or_III","No","1919 (25.4%)","≥781 (≥3.1%)","5517 (5.1%)"
"AV_block_II_or_III","Yes","20 (0.3%)","<5 (<0.0%)","12 (0.0%)"
"AV_block_II_or_III","Missing","5604 (74.3%)","24272 (96.9%)","102074 (94.9%)"
"Troponin_T","Mean (SD)","155.3 (737.8)","225.5 (973.0)","142.1 (685.8)"
"Troponin_T","Median (IQR)","14.0 (0.0--45.0)","19.7 (11.9--35.1)","12.2 (8.0--21.6)"
"Troponin_T","Missing","7062 (93.6%)","24769 (98.8%)","102157 (94.9%)"
"Lipid_lowering","No","1671 (22.2%)","4153 (16.6%)","8154 (7.6%)"
"Lipid_lowering","Yes","3163 (41.9%)","20669 (82.5%)","98954 (92.0%)"
"Lipid_lowering","Missing","2709 (35.9%)","236 (0.9%)","495 (0.5%)"
"CVD_risk_region","1","3569 (47.3%)","205 (0.8%)","434 (0.4%)"
"CVD_risk_region","2","174 (2.3%)","22853 (91.2%)","98738 (91.8%)"
"CVD_risk_region","3","2968 (39.3%)","1944 (7.8%)","7914 (7.4%)"
"CVD_risk_region","4","832 (11.0%)","56 (0.2%)","517 (0.5%)"
"CVD_risk_region","Missing","0 (0.0%)","0 (0.0%)","0 (0.0%)"
"HasMRI","No","7123 (94.4%)","24411 (97.4%)","106507 (99.0%)"
"HasMRI","Yes","420 (5.6%)","647 (2.6%)","1096 (1.0%)"
"HasMRI","Missing","0 (0.0%)","0 (0.0%)","0 (0.0%)"
"DB","ASTN",-,"200 (0.8%)","434 (0.4%)"
"DB","ATMS",-,"18 (0.1%)","853 (0.8%)"
"DB","DRVT",-,"286 (1.1%)","249 (0.2%)"
"DB","ISAR",-,"385 (1.5%)","3036 (2.8%)"
"DB","MDII",-,"458 (1.8%)",-
"DB","PRDT",-,"321 (1.3%)","4878 (4.5%)"
"DB","SHFT",-,"785 (3.1%)",-
"DB","SLSN",-,"56 (0.2%)","517 (0.5%)"
"DB","SWHR",-,"22549 (90.0%)","97636 (90.7%)"
"Baseline_type","MI",-,"22962 (91.6%)","100910 (93.8%)"
"Baseline_type","MI40d",-,"2096 (8.4%)","6693 (6.2%)"
"Baseline_type","Missing",-,"0 (0.0%)","0 (0.0%)"
"Cholesterol","Mean (SD)",-,"179.2 (48.5)","191.6 (49.2)"
"Cholesterol","Median (IQR)",-,"174.0 (144.0--208.8)","189.5 (155.0--224.3)"
"Cholesterol","Missing",-,"8822 (35.2%)","23251 (21.6%)"
"HbA1c","Mean (SD)",-,"6.4 (1.5)","6.2 (1.2)"
"HbA1c","Median (IQR)",-,"5.9 (5.5--6.8)","5.8 (5.4--6.4)"
"HbA1c","Missing",-,"22035 (87.9%)","87944 (81.7%)"
"HDL","Mean (SD)",-,"46.1 (15.6)","47.0 (15.3)"
"HDL","Median (IQR)",-,"42.5 (34.8--54.1)","44.9 (36.7--54.1)"
"HDL","Missing",-,"9218 (36.8%)","25027 (23.3%)"
"LDL","Mean (SD)",-,"108.7 (42.3)","117.4 (43.1)"
"LDL","Median (IQR)",-,"104.4 (77.7--134.6)","114.8 (85.5--145.0)"
"LDL","Missing",-,"9625 (38.4%)","27309 (25.4%)"
"Triglycerides","Mean (SD)",-,"127.9 (78.9)","144.3 (93.9)"
"Triglycerides","Median (IQR)",-,"106.6 (82.4--150.6)","124.0 (88.6--168.3)"
"Triglycerides","Missing",-,"9810 (39.1%)","28274 (26.3%)"
"Alcohol","No",-,"778 (3.1%)","1963 (1.8%)"
"Alcohol","Yes",-,"342 (1.4%)","3764 (3.5%)"
"Alcohol","Missing",-,"23938 (95.5%)","101876 (94.7%)"
"MI_location_lateral","No",-,"631 (2.5%)","7390 (6.9%)"
"MI_location_lateral","Yes",-,"121 (0.5%)","1024 (1.0%)"
"MI_location_lateral","Missing",-,"24306 (97.0%)","99189 (92.2%)"
"PCI_acute","No",-,"14759 (58.9%)","68407 (63.6%)"
"PCI_acute","Yes",-,"8231 (32.8%)","32782 (30.5%)"
"PCI_acute","Missing",-,"2068 (8.3%)","6414 (6.0%)"
"CABG_acute","No",-,"12534 (50.0%)","63152 (58.7%)"
"CABG_acute","Yes",-,"150 (0.6%)","376 (0.3%)"
"CABG_acute","Missing",-,"12374 (49.4%)","44075 (41.0%)"
"Thrombolysis_acute","No",-,"22542 (90.0%)","99134 (92.1%)"
"Thrombolysis_acute","Yes",-,"392 (1.6%)","1538 (1.4%)"
"Thrombolysis_acute","Missing",-,"2124 (8.5%)","6931 (6.4%)"
"Revascularisation_acute","No",-,"14236 (56.8%)","66531 (61.8%)"
"Revascularisation_acute","Yes",-,"8754 (34.9%)","34658 (32.2%)"
"Revascularisation_acute","Missing",-,"2068 (8.3%)","6414 (6.0%)"
"MI_history","No",-,"16393 (65.4%)","83723 (77.8%)"
"MI_history","Yes",-,"6449 (25.7%)","17023 (15.8%)"
"MI_history","Missing",-,"2216 (8.8%)","6857 (6.4%)"
"MI_location_posterior","No",-,"360 (1.4%)","5158 (4.8%)"
"MI_location_posterior","Yes",-,"17 (0.1%)","237 (0.2%)"
"MI_location_posterior","Missing",-,"24681 (98.5%)","102208 (95.0%)"
"MI_type","NSTEMI",-,"14312 (57.1%)","70140 (65.2%)"
"MI_type","STEMI",-,"8293 (33.1%)","28013 (26.0%)"
"MI_type","Missing",-,"2453 (9.8%)","9450 (8.8%)"
"IsSWHR","0",-,"2509 (10.0%)","9967 (9.3%)"
"IsSWHR","1",-,"22549 (90.0%)","97636 (90.7%)"
"IsSWHR","Missing",-,"0 (0.0%)","0 (0.0%)"
"BUN","Min to Max",-,-,"Inf to -Inf"
