"Variable","Level","BMI_cat","Count","Percent","p.value_rounded","p_adj_rounded"
"FH_SCD",NA,"Underweight",1533,"98.2%",0.0195,0.0252
"HF","No","Underweight",1268,"81.2%",1.47e-26,3.4e-26
"HF","Yes","Underweight",137,"8.8%",1.47e-26,3.4e-26
"HF",NA,"Underweight",156,"10.0%",1.47e-26,3.4e-26
"HasMRI","No","Underweight",1543,"98.8%",9.24e-06,1.32e-05
"HasMRI","Yes","Underweight",18,"1.2%",9.24e-06,1.32e-05
"Hypertension","No","Underweight",889,"57.0%",0,0
"Hypertension","Yes","Underweight",646,"41.4%",0,0
"Hypertension",NA,"Underweight",26,"1.7%",0,0
"IsSWHR","0","Underweight",82,"5.3%",4.11e-207,1.98e-206
"IsSWHR","1","Underweight",1428,"91.5%",4.11e-207,1.98e-206
"IsSWHR",NA,"Underweight",51,"3.3%",4.11e-207,1.98e-206
"LBBB","No","Underweight",1388,"88.9%",1.52e-05,2.11e-05
"LBBB","Yes","Underweight",83,"5.3%",1.52e-05,2.11e-05
"LBBB",NA,"Underweight",90,"5.8%",1.52e-05,2.11e-05
"Lipid_lowering","No","Underweight",411,"26.3%",3.26e-240,1.73e-239
"Lipid_lowering","Yes","Underweight",1145,"73.4%",3.26e-240,1.73e-239
"Lipid_lowering",NA,"Underweight",5,"0.3%",3.26e-240,1.73e-239
"MI_history","No","Underweight",1184,"75.8%",3.41e-07,5.32e-07
"MI_history","Yes","Underweight",276,"17.7%",3.41e-07,5.32e-07
"MI_history",NA,"Underweight",101,"6.5%",3.41e-07,5.32e-07
"MI_location_anterior","No","Underweight",32,"2.0%",5.42e-07,8.2e-07
"MI_location_anterior","Yes","Underweight",36,"2.3%",5.42e-07,8.2e-07
"MI_location_anterior",NA,"Underweight",1493,"95.6%",5.42e-07,8.2e-07
"MI_location_inferior","No","Underweight",47,"3.0%",0.0649,0.0764
"MI_location_inferior","Yes","Underweight",21,"1.3%",0.0649,0.0764
"MI_location_inferior",NA,"Underweight",1493,"95.6%",0.0649,0.0764
"MI_location_lateral","No","Underweight",56,"3.6%",0.639,0.678
"MI_location_lateral","Yes","Underweight",8,"0.5%",0.639,0.678
"MI_location_lateral",NA,"Underweight",1497,"95.9%",0.639,0.678
"MI_location_posterior","No","Underweight",28,"1.8%",0.0247,0.0311
"MI_location_posterior","Yes","Underweight",2,"0.1%",0.0247,0.0311
"MI_location_posterior",NA,"Underweight",1531,"98.1%",0.0247,0.0311
"MI_type","NSTEMI","Underweight",1032,"66.1%",1.71e-19,3.63e-19
"MI_type","STEMI","Underweight",400,"25.6%",1.71e-19,3.63e-19
"MI_type",NA,"Underweight",129,"8.3%",1.71e-19,3.63e-19
"MR","Moderate","Underweight",2,"0.1%",0.0886,0.102
"MR","None or mild","Underweight",15,"1.0%",0.0886,0.102
"MR","Severe","Underweight",1,"0.1%",0.0886,0.102
"MR",NA,"Underweight",1543,"98.8%",0.0886,0.102
"NSVT","No","Underweight",8,"0.5%",0.0609,0.0733
"NSVT","Yes","Underweight",3,"0.2%",0.0609,0.0733
"NSVT",NA,"Underweight",1550,"99.3%",0.0609,0.0733
"NYHA","I","Underweight",37,"2.4%",2.21e-07,3.55e-07
"NYHA","II","Underweight",35,"2.2%",2.21e-07,3.55e-07
"NYHA","III","Underweight",19,"1.2%",2.21e-07,3.55e-07
"NYHA","IV","Underweight",4,"0.3%",2.21e-07,3.55e-07
"NYHA",NA,"Underweight",1466,"93.9%",2.21e-07,3.55e-07
"PCI","No","Underweight",1335,"85.5%",1.74e-175,7.08e-175
"PCI","Yes","Underweight",123,"7.9%",1.74e-175,7.08e-175
"PCI",NA,"Underweight",103,"6.6%",1.74e-175,7.08e-175
"PCI_acute","No","Underweight",1112,"71.2%",8.41e-41,2.34e-40
"PCI_acute","Yes","Underweight",355,"22.7%",8.41e-41,2.34e-40
"PCI_acute",NA,"Underweight",94,"6.0%",8.41e-41,2.34e-40
"RBBB","No","Underweight",1384,"88.7%",0.808,0.823
"RBBB","Yes","Underweight",61,"3.9%",0.808,0.823
"RBBB",NA,"Underweight",116,"7.4%",0.808,0.823
"Revascularisation_acute","No","Underweight",1097,"70.3%",4.27e-43,1.26e-42
"Revascularisation_acute","Yes","Underweight",370,"23.7%",4.27e-43,1.26e-42
"Revascularisation_acute",NA,"Underweight",94,"6.0%",4.27e-43,1.26e-42
"Sex","Female","Underweight",1091,"69.9%",0,0
"Sex","Male","Underweight",470,"30.1%",0,0
"Smoking","No","Underweight",516,"33.1%",4.99e-66,1.65e-65
"Smoking","Yes","Underweight",911,"58.4%",4.99e-66,1.65e-65
"Smoking",NA,"Underweight",134,"8.6%",4.99e-66,1.65e-65
"Stroke_TIA","No","Underweight",1323,"84.8%",2.99e-12,5.46e-12
"Stroke_TIA","Yes","Underweight",149,"9.5%",2.99e-12,5.46e-12
"Stroke_TIA",NA,"Underweight",89,"5.7%",2.99e-12,5.46e-12
"Thrombolysis_acute","No","Underweight",1450,"92.9%",0.546,0.603
"Thrombolysis_acute","Yes","Underweight",13,"0.8%",0.546,0.603
"Thrombolysis_acute",NA,"Underweight",98,"6.3%",0.546,0.603
"Time_zero_Y","1996","Underweight",2,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","1997","Underweight",4,"0.3%",3.2e-44,9.97e-44
"Time_zero_Y","1998","Underweight",10,"0.6%",3.2e-44,9.97e-44
"Time_zero_Y","1999","Underweight",11,"0.7%",3.2e-44,9.97e-44
"Time_zero_Y","2000","Underweight",11,"0.7%",3.2e-44,9.97e-44
"Time_zero_Y","2001","Underweight",8,"0.5%",3.2e-44,9.97e-44
"Time_zero_Y","2002","Underweight",3,"0.2%",3.2e-44,9.97e-44
"Time_zero_Y","2003","Underweight",4,"0.3%",3.2e-44,9.97e-44
"Time_zero_Y","2004","Underweight",1,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2005","Underweight",2,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2006","Underweight",90,"5.8%",3.2e-44,9.97e-44
"Time_zero_Y","2007","Underweight",103,"6.6%",3.2e-44,9.97e-44
"Time_zero_Y","2008","Underweight",109,"7.0%",3.2e-44,9.97e-44
"Time_zero_Y","2009","Underweight",100,"6.4%",3.2e-44,9.97e-44
"Time_zero_Y","2010","Underweight",148,"9.5%",3.2e-44,9.97e-44
"Time_zero_Y","2011","Underweight",162,"10.4%",3.2e-44,9.97e-44
"Time_zero_Y","2012","Underweight",144,"9.2%",3.2e-44,9.97e-44
"Time_zero_Y","2013","Underweight",156,"10.0%",3.2e-44,9.97e-44
"Time_zero_Y","2014","Underweight",131,"8.4%",3.2e-44,9.97e-44
"Time_zero_Y","2015","Underweight",131,"8.4%",3.2e-44,9.97e-44
"Time_zero_Y","2016","Underweight",111,"7.1%",3.2e-44,9.97e-44
"Time_zero_Y","2017","Underweight",119,"7.6%",3.2e-44,9.97e-44
"Time_zero_Y","2018","Underweight",1,"0.1%",3.2e-44,9.97e-44
"Time_zero_Ym","1996-05-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1996-08-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1997-01-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1997-08-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1997-10-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1997-12-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1998-05-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1998-06-01","Underweight",2,"0.1%",NA,NA
"Time_zero_Ym","1998-07-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","1998-11-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1999-04-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1999-07-01","Underweight",5,"0.3%",NA,NA
"Time_zero_Ym","1999-09-01","Underweight",3,"0.2%",NA,NA
"Time_zero_Ym","1999-10-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","1999-11-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2000-01-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2000-02-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2000-07-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2000-10-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2000-11-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2001-01-01","Underweight",2,"0.1%",NA,NA
"Time_zero_Ym","2001-04-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2001-07-01","Underweight",3,"0.2%",NA,NA
"Time_zero_Ym","2001-08-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2001-11-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2002-02-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2002-03-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2002-09-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2003-03-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2003-06-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2003-07-01","Underweight",2,"0.1%",NA,NA
"Time_zero_Ym","2004-03-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2005-01-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2005-08-01","Underweight",1,"0.1%",NA,NA
"Time_zero_Ym","2006-02-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2006-03-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2006-04-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2006-05-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2006-06-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2006-07-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2006-08-01","Underweight",4,"0.3%",NA,NA
"Time_zero_Ym","2006-09-01","Underweight",5,"0.3%",NA,NA
"Time_zero_Ym","2006-10-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2006-11-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2006-11-16","Underweight",2,"0.1%",NA,NA
"Time_zero_Ym","2006-12-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2007-01-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2007-02-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2007-03-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2007-04-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2007-05-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2007-06-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2007-07-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2007-08-01","Underweight",4,"0.3%",NA,NA
"Time_zero_Ym","2007-09-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2007-10-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2007-11-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2007-12-01","Underweight",14,"0.9%",NA,NA
"Time_zero_Ym","2008-01-01","Underweight",5,"0.3%",NA,NA
"Time_zero_Ym","2008-02-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2008-03-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2008-04-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2008-05-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2008-06-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2008-07-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2008-08-01","Underweight",3,"0.2%",NA,NA
"Time_zero_Ym","2008-09-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2008-10-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2008-11-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2008-12-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2009-01-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2009-02-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2009-03-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2009-04-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2009-05-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2009-06-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2009-07-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2009-08-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2009-09-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2009-10-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2009-11-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2009-12-01","Underweight",3,"0.2%",NA,NA
"Time_zero_Ym","2010-01-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2010-02-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2010-03-01","Underweight",5,"0.3%",NA,NA
"Time_zero_Ym","2010-04-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2010-04-17","Underweight",2,"0.1%",NA,NA
"Time_zero_Ym","2010-05-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2010-06-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2010-07-01","Underweight",16,"1.0%",NA,NA
"Time_zero_Ym","2010-08-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2010-09-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2010-10-01","Underweight",19,"1.2%",NA,NA
"Time_zero_Ym","2010-11-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2010-12-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2011-01-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2011-02-01","Underweight",5,"0.3%",NA,NA
"Time_zero_Ym","2011-03-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2011-04-01","Underweight",16,"1.0%",NA,NA
"Time_zero_Ym","2011-05-01","Underweight",16,"1.0%",NA,NA
"Time_zero_Ym","2011-06-01","Underweight",20,"1.3%",NA,NA
"Time_zero_Ym","2011-07-01","Underweight",14,"0.9%",NA,NA
"Time_zero_Ym","2011-08-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2011-09-01","Underweight",14,"0.9%",NA,NA
"Time_zero_Ym","2011-10-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2011-11-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2011-12-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2012-01-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2012-02-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2012-03-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2012-04-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2012-05-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2012-06-01","Underweight",27,"1.7%",NA,NA
"Time_zero_Ym","2012-07-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2012-08-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2012-09-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2012-10-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2012-11-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2012-12-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2013-01-01","Underweight",17,"1.1%",NA,NA
"Time_zero_Ym","2013-02-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2013-03-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2013-04-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2013-05-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2013-06-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2013-07-01","Underweight",14,"0.9%",NA,NA
"Time_zero_Ym","2013-08-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2013-09-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2013-10-01","Underweight",14,"0.9%",NA,NA
"Time_zero_Ym","2013-11-01","Underweight",14,"0.9%",NA,NA
"Time_zero_Ym","2013-12-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2014-01-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2014-02-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2014-03-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2014-04-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2014-05-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2014-06-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2014-07-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2014-08-01","Underweight",15,"1.0%",NA,NA
"Time_zero_Ym","2014-09-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2014-10-01","Underweight",16,"1.0%",NA,NA
"Time_zero_Ym","2014-11-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2014-12-01","Underweight",5,"0.3%",NA,NA
"Time_zero_Ym","2015-01-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2015-02-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2015-03-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2015-04-01","Underweight",5,"0.3%",NA,NA
"Time_zero_Ym","2015-05-01","Underweight",17,"1.1%",NA,NA
"Time_zero_Ym","2015-06-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2015-07-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2015-08-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2015-09-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2015-10-01","Underweight",19,"1.2%",NA,NA
"Time_zero_Ym","2015-11-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2015-12-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2016-01-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2016-02-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2016-03-01","Underweight",5,"0.3%",NA,NA
"Time_zero_Ym","2016-04-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2016-05-01","Underweight",12,"0.8%",NA,NA
"Time_zero_Ym","2016-06-01","Underweight",2,"0.1%",NA,NA
"Time_zero_Ym","2016-07-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2016-08-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2016-09-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2016-10-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2016-11-01","Underweight",13,"0.8%",NA,NA
"Time_zero_Ym","2016-12-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2017-01-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2017-02-01","Underweight",18,"1.2%",NA,NA
"Time_zero_Ym","2017-03-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2017-04-01","Underweight",16,"1.0%",NA,NA
"Time_zero_Ym","2017-05-01","Underweight",4,"0.3%",NA,NA
"Time_zero_Ym","2017-06-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2017-07-01","Underweight",7,"0.4%",NA,NA
"Time_zero_Ym","2017-08-01","Underweight",9,"0.6%",NA,NA
"Time_zero_Ym","2017-09-01","Underweight",11,"0.7%",NA,NA
"Time_zero_Ym","2017-10-01","Underweight",10,"0.6%",NA,NA
"Time_zero_Ym","2017-11-01","Underweight",8,"0.5%",NA,NA
"Time_zero_Ym","2017-12-01","Underweight",6,"0.4%",NA,NA
"Time_zero_Ym","2018-02-01","Underweight",1,"0.1%",NA,NA
"ACE_inhibitor","No","Normal",14697,"37.0%",8.67e-09,1.44e-08
"ACE_inhibitor","Yes","Normal",24176,"60.8%",8.67e-09,1.44e-08
"ACE_inhibitor",NA,"Normal",869,"2.2%",8.67e-09,1.44e-08
"ACE_inhibitor_ARB","No","Normal",9478,"23.8%",2.86e-164,1.08e-163
"ACE_inhibitor_ARB","Yes","Normal",30022,"75.5%",2.86e-164,1.08e-163
"ACE_inhibitor_ARB",NA,"Normal",242,"0.6%",2.86e-164,1.08e-163
"AF_atrial_flutter","No","Normal",32232,"81.1%",3.24e-20,7.15e-20
"AF_atrial_flutter","Yes","Normal",5263,"13.2%",3.24e-20,7.15e-20
"AF_atrial_flutter",NA,"Normal",2247,"5.7%",3.24e-20,7.15e-20
"ARB","No","Normal",32486,"81.7%",3.38e-192,1.49e-191
"ARB","Yes","Normal",5286,"13.3%",3.38e-192,1.49e-191
"ARB",NA,"Normal",1970,"5.0%",3.38e-192,1.49e-191
"AV_block","No","Normal",1343,"3.4%",0.13,0.146
"AV_block","Yes","Normal",140,"0.4%",0.13,0.146
